idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
mbe_292,mbe,292,171,MBE-1978-83-part1,,144,"John Doe, the owner of a milk container manufacturing firm, sought to focus public attention on the milk packaging law of the State of Clinton in order to have it repealed. On a weekday at 12:00 noon, he delivered an excited, animated, and loud harangue on the steps of the State Capitol in front of the main entryway. An audience of 200 onlookers, who gathered on the steps, heckled him and laughed as he delivered his tirade. Doe repeatedly stated, gesturing expressively and making faces, that ""the g-ddamned milk packaging law is stupid,"" and that ""I will strangle every one of those g-ddamned legislators I can get hold of because this law they created proves they are all too dumb to live."" After about fifteen minutes, Doe stopped speaking, and the amused crowd dispersed. There are three relevant statutes of the State of Clinton. The first statute prohibits ""all speech making, picketing, and public gatherings of every sort on the Capitol steps in front of the main entryway between 7:45 a.m. -8:15 a.m., 11:45 a.m. -12:15 p.m., 12:45 p.m. -1:15 p.m., and 4:45 p.m. -5:15 p.m., on Capitol working days.""","Which of the following possible plaintiffs other than Doe would be most likely to obtain an adjudication in a federal court on the validity of the ""Capitol steps"" statute?",A state taxpayer in the highest tax bracket,A politician intending to make a campaign speech on the Capitol steps during a prohibited time,A legislator who voted against the statute because he thought it unconstitutional,"An organization whose purpose was ""to seek judicial invalidation of unconstitutional laws""",B,A party has standing to challenge the constitutionality of a statute only insofar as it has an adverse impact on his own rights.,mbe_231
mbe_293,mbe,293,171,MBE-1978-83-part1,,145,"John Doe, the owner of a milk container manufacturing firm, sought to focus public attention on the milk packaging law of the State of Clinton in order to have it repealed. On a weekday at 12:00 noon, he delivered an excited, animated, and loud harangue on the steps of the State Capitol in front of the main entryway. An audience of 200 onlookers, who gathered on the steps, heckled him and laughed as he delivered his tirade. Doe repeatedly stated, gesturing expressively and making faces, that ""the g-ddamned milk packaging law is stupid,"" and that ""I will strangle every one of those g-ddamned legislators I can get hold of because this law they created proves they are all too dumb to live."" After about fifteen minutes, Doe stopped speaking, and the amused crowd dispersed. There are three relevant statutes of the State of Clinton. The first statute prohibits ""all speech making, picketing, and public gatherings of every sort on the Capitol steps in front of the main entryway between 7:45 a.m. -8:15 a.m., 11:45 a.m. -12:15 p.m., 12:45 p.m. -1:15 p.m., and 4:45 p.m. -5:15 p.m., on Capitol working days.""","The ""Capitol steps"" statute is probably",constitutional both on its face and as applied to Doe,constitutional on its face but unconstitutional as applied to Doe,"unconstitutional on its face, because it applies to all working days","unconstitutional on its face, because it concerns the State Capitol",A," The “designated public forum,” and its subset, the “limited public forum,” fall next along the spectrum. Id. at 142–43. A “designated public forum” is a place not traditionally open to public assembly and debate—a public school, for example—that the government has taken affirmative steps to open for general public discourse. Id. Speech in a designated public forum is entitled to the same constitutional protection as that extended to expression in a traditional public forum, so long as the state continues to designate the forum for such use. Id. at 143. A “limited public forum,” instead, is created when the State “opens a non-public forum but limits the expressive activity to certain kinds of speakers or to the discussion of certain subjects.” Hotel Employees & Rest. Employees Union Local 100 v. City of New York Dep't of Parks & Recreation, 311 F.3d 534, 545 (2d Cir.2002). In limited public fora, the government may make reasonable, viewpoint-neutral rules governing the content of speech allowed. Id. at 545–46; see also Good News Club v. Milford Cent. Sch., 533 U.S. 98, 106–07, 121 S.Ct. 2093, 150 L.Ed.2d 151 (2001).",mbe_232
mbe_294,mbe,294,171,MBE-1978-83-part1,,146,"John Doe, the owner of a milk container manufacturing firm, sought to focus public attention on the milk packaging law of the State of Clinton in order to have it repealed. On a weekday at 12:00 noon, he delivered an excited, animated, and loud harangue on the steps of the State Capitol in front of the main entryway. An audience of 200 onlookers, who gathered on the steps, heckled him and laughed as he delivered his tirade. Doe repeatedly stated, gesturing expressively and making faces, that ""the g-ddamned milk packaging law is stupid,"" and that ""I will strangle every one of those g-ddamned legislators I can get hold of because this law they created proves they are all too dumb to live."" After about fifteen minutes, Doe stopped speaking, and the amused crowd dispersed. There are three relevant statutes of the State of Clinton. The first statute prohibits ""all speech making, picketing, and public gatherings of every sort on the Capitol steps in front of the main entryway between 7:45 a.m. -8:15 a.m., 11:45 a.m. -12:15 p.m., 12:45 p.m. -1:15 p.m., and 4:45 p.m. -5:15 p.m., on Capitol working days.""","A second state statute punishes ""any person who shall intentionally threaten the life or safety of any public official for any act which he performed as part of his public office."" Which of the following statements is correct concerning the possible punishment of Doe under the second statute?",The statute is unconstitutional on its face.,"The statute is constitutional on its face, but Doe could not constitutionally be punished under it for this speech.",Doe could constitutionally be punished under the statute for his speech.,"Doe could constitutionally be punished under the statute for his speech, but only if one or more legislators were actually present when he delivered it.",B,"When enforcing the First Amendment's prohibition on government interference with speech, we often begin by asking whether a regulation is content-based or content-neutral. Becerra, 138 S.Ct. at 2371. Content-based regulations “target speech based on its communicative content.” Id. (quoting Reed v. Town of Gilbert, 576 U.S. 155, 163, 135 S.Ct. 2218, 192 L.Ed.2d 236 (2015)).  Such regulations “are presumptively unconstitutional and may be justified only if the government proves that they are narrowly tailored to serve compelling state interests.” Becerra, 138 S. Ct. at 2371.",mbe_233
mbe_295,mbe,295,171,MBE-1978-83-part1,,147,"John Doe, the owner of a milk container manufacturing firm, sought to focus public attention on the milk packaging law of the State of Clinton in order to have it repealed. On a weekday at 12:00 noon, he delivered an excited, animated, and loud harangue on the steps of the State Capitol in front of the main entryway. An audience of 200 onlookers, who gathered on the steps, heckled him and laughed as he delivered his tirade. Doe repeatedly stated, gesturing expressively and making faces, that ""the g-ddamned milk packaging law is stupid,"" and that ""I will strangle every one of those g-ddamned legislators I can get hold of because this law they created proves they are all too dumb to live."" After about fifteen minutes, Doe stopped speaking, and the amused crowd dispersed. There are three relevant statutes of the State of Clinton. The first statute prohibits ""all speech making, picketing, and public gatherings of every sort on the Capitol steps in front of the main entryway between 7:45 a.m. -8:15 a.m., 11:45 a.m. -12:15 p.m., 12:45 p.m. -1:15 p.m., and 4:45 p.m. -5:15 p.m., on Capitol working days.""","A third state statute, enacted in 1880, makes criminal ""the utterance in any public place of any blasphemy or sacrilege."" Assume that there have been only a few recorded prosecutions under the 1880 statute. Doe is charged with violating its proscriptions. The charge is based wholly on the speech he delivered on the steps of the Clinton State Capitol. Which of the following constitutional defenses to this prosecution under the 1880 statute would be the LEAST likely to succeed?","This statute is vague and, therefore, violates. the due process clause of the Fourteenth Amendment.","This statute is an establishment of religion and, therefore, violates the due process clause of the Fourteenth Amendment.",Application of this statute to Doe denies him equal protection of the laws in violation of the Fourteenth Amendment.,Application of this statute to Doe denies him freedom of speech in violation of the Fourteenth Amendment.,C,"‘Broadly stated, equal protection of the laws means “that no person or class of persons shall be denied the same protection of the laws [that] is enjoyed by other persons or other classes in like circumstances in their lives, liberty and property and in their pursuit of happiness.” [Citation.]’ [Citation.].... Thus, ... a threshold requirement of any meritorious equal protection claim ‘is a showing that the state has adopted a classification that affects two or more similarly situated groups in an unequal manner. [Citation.]’ [Citation.] ‘This initial inquiry is not whether persons are similarly situated for all purposes, but “whether they are similarly situated for purposes of the law challenged.” [Citation.]’ [Citation.]” (People v. Guzman (2005) 35 Cal.4th 577, 591–592, 25 Cal.Rptr.3d 761, 107 P.3d 860, italics omitted; see also Reed v. Reed (1971) 404 U.S. 71, 75–76, 92 S.Ct. 251, 30 L.Ed.2d 225; People v. Hofsheier (2006) 37 Cal.4th 1185, 1199–1200, 39 Cal.Rptr.3d 821, 129 P.3d 29.)",mbe_234
mbe_296,mbe,296,172,MBE-1978-83-part1,,148,Peri sues Denucci for a libelous letter received by Investigator. The authenticity and contents of the letter are disputed.,"Peri's attorney asks Investigator to testify that, a week before receiving the libelous letter, he had written to Denucci inquiring about Peri. The testimony is",admissible provided this inquiry was made in the regular course of Investigator's business,admissible without production of the inquiry letter or the showing of its unavailability,inadmissible unless Peri's attorney has given Denucci notice of Investigator's intended testimony,inadmissible unless the inquiry letter itself is shown to be unavailable,B,A record created by a third party which is adopted by a business may be admitted under the business record exception to the hearsay rule if certain criteria are met: (1) the record must be procured in the normal course of business; (2) the business must show that it relied on the record; and (3) there must be other circumstances indicating the trustworthiness of the document.,mbe_235
mbe_297,mbe,297,172,MBE-1978-83-part1,,149,Peri sues Denucci for a libelous letter received by Investigator. The authenticity and contents of the letter are disputed.,"Investigator, if permitted, will testify that, ""I received a letter that I cannot now find, which read: Dear Investigator, You inquired about Peri. We fired him last month when we discovered that he had been stealing from the stockroom. Denucci"" The testimony should be admitted in evidence only if the",jury finds that Investigator has quoted the letter precisely,jury is satisfied that the original letter is unavailable,judge is satisfied that Investigator has quoted the letter precisely,judge finds that the original letter is unavailable,D,"In the event that the original is unavailable, the party must provide a valid reason why. If the original document is not available, and the court finds the reason provided acceptable, then the party is allowed to use secondary evidence to prove the contents of the document and have it as admissible evidence.",mbe_236
mbe_298,mbe,298,173,MBE-1978-83-part1,,150,"Photo, a free-lance photographer, took a Picture of Player in front of Shoe Store. Player was a nationally known amateur basketball star who had received much publicity in the press. At the time, the window display in Shoe Store featured ""Jumpers,"" a well-known make of basketball shoes. Photo sold the picture, greatly enlarged, to Shoe Store and told Shoe Store that Photo had Player's approval to do so and that Player had consented to Shoe Store's showing the enlarged picture in the window. Shoe Store made no effort to ascertain whether Player had given his consent to Photo. In fact, Player did not even know that Photo had taken the picture. Shoe Store put the enlarged picture in the window with the display of ""Jumpers"" shoes. The college that Player attended believed that Player had intentionally endorsed Shoe Store and ""Jumpers"" shoes, and the college cancelled his athletic scholarship.","If Player asserts a claim based on defamation against Shoe Store, will Player prevail?","Yes, if Shoe Store was reckless in accepting Photo's statement that Photo had Player's approval.","Yes, because the defamatory material was in printed form.","No, if Shoe Store believed Photo's statement that Photo had Player's approval.","No, because the picture of Player was not defamatory per se",A,A defendant is liable for defaming a private person if he knowingly or recklessly publishes a false and disparaging communication concerning that person to a third party.,mbe_237
mbe_299,mbe,299,173,MBE-1978-83-part1,,151,"Photo, a free-lance photographer, took a Picture of Player in front of Shoe Store. Player was a nationally known amateur basketball star who had received much publicity in the press. At the time, the window display in Shoe Store featured ""Jumpers,"" a well-known make of basketball shoes. Photo sold the picture, greatly enlarged, to Shoe Store and told Shoe Store that Photo had Player's approval to do so and that Player had consented to Shoe Store's showing the enlarged picture in the window. Shoe Store made no effort to ascertain whether Player had given his consent to Photo. In fact, Player did not even know that Photo had taken the picture. Shoe Store put the enlarged picture in the window with the display of ""Jumpers"" shoes. The college that Player attended believed that Player had intentionally endorsed Shoe Store and ""Jumpers"" shoes, and the college cancelled his athletic scholarship.","If Player asserts a claim based on invasion of privacy against Shoe Store, will Player prevail?","Yes, because Photo had no right to take Player's picture.","Yes, because Shoe Store, without Player's permission, used Player's picture for profit.","No, because Player was already a basketball star who had received much publicity in the press.","No, because Shoe Store believed it had permission to put the picture in its window.",B,"“right of publicity” signifies the right of an individual, especially a public figure or celebrity, to control the commercial value and exploitation of his name and picture or likeness and to prevent others from unfairly appropriating this value for commercial benefit.",mbe_238
mbe_300,mbe,300,174,MBE-1978-83-part1,,152,,"Landover, the owner in fee simple of Highacre, an apartment house property, entered into an enforceable written agreement with VanMeer to sell Highacre to VanMeer. The agreement provided that a good and marketable title was to be conveyed free and clear of all encumbrances. However, the agreement was silent as to the risk of fire prior to the closing, and there is no applicable statute in the state where the land is located. The premises were not insured. The day before the scheduled closing date, Highacre was wholly destroyed by fire. When VanMeer refused to close, Landover brought an action for specific performance. If Landover prevails, the most likely reason will be that",the failure of VanMeer to insure his interest as the purchaser of Highacre precludes any relief for him,the remedy at law is inadequate in actions concerning real estate contracts and either party is entitled to specific performance,equity does not permit consideration of surrounding circumstances in actions concerning real estate contracts,the doctrine of equitable conversion applies,D,"To establish a claim for conversion, a plaintiff must prove that (1) the plaintiff owned or had possession of the property or entitlement to possession; (2) the defendant unlawfully and without authorization assumed and exercised control over the property to the exclusion of, or inconsistent with, the plaintiff's rights as an owner; (3) the plaintiff demanded return of the property; and (4) the defendant refused to return the property. Apple Imports, Inc. v. Koole, 945 S.W.2d 895, 899 (Tex.App.–Austin 1997, writ denied). ",mbe_90
mbe_302,mbe,302,176,MBE-1978-83-part1,,154,"In the application for a life insurance policy, Mary answered in the negative the question, ""Have you ever had any heart disease?"" Both the application and the insurance policy which was issued provided: ""Applicant warrants the truthfulness of the statements made in the application and they are made conditions to the cont ract of insurance."" Unknown to Mary, she had had a heart disease at a very early age. The policy provided that the proceeds were not to be paid over to the named beneficiary, Mary's daughter, Joan, ""until she reaches the age of 21."" No contingent beneficiary was named in the policy. Mary was killed in an automobile accident two months after the policy was issued. Joan died one month later at the age of 19 from injuries incurred in the same accident.","If the question is raised in an action against the insurance company, how is the court likely to construe the clause dealing with the truthfulness of statements in the application?","The clause is a condition, and because the condition was not met, the company will not be liable.","The clause is a condition, but it will be interpreted to mean, ""truthfulness to the best of my knowledge.""","The clause is not a condition, and therefore the company may be liable even though Mary's statement was not true.","The clause is not a condition but is a promise, and therefore the company will have a cause of action against Mary 's estate for any losses it suffered because of Mary 's misstatement.",B,"“A condition precedent is an act or event, other than a lapse of time, which, unless the condition is excused, must occur before a duty to perform a promise in the agreement arises” (Oppenheimer & Co., 86 N.Y.2d at 690, 636 N.Y.S.2d 734, 660 N.E.2d 415 [internal quotation marks omitted]). An express condition -- that is, one agreed to by the parties that must be literally performed (substantial compliance will not suffice) -- must be reflected in clear, express language (see id. at 691, 636 N.Y.S.2d 734, 660 N.E.2d 415); “[c]ourts are reluctant to interpret a contractual clause as a condition precedent in the absence of ... unmistakable conditional language” ( VXI Lux Holdco S.A.R.L. v. SIC Holdings, LLC, 171 A.D.3d 189, 195, 98 N.Y.S.3d 1 [1st Dept. 2019]).",mbe_239
mbe_303,mbe,303,176,MBE-1978-83-part1,,155,"In the application for a life insurance policy, Mary answered in the negative the question, ""Have you ever had any heart disease?"" Both the application and the insurance policy which was issued provided: ""Applicant warrants the truthfulness of the statements made in the application and they are made conditions to the cont ract of insurance."" Unknown to Mary, she had had a heart disease at a very early age. The policy provided that the proceeds were not to be paid over to the named beneficiary, Mary's daughter, Joan, ""until she reaches the age of 21."" No contingent beneficiary was named in the policy. Mary was killed in an automobile accident two months after the policy was issued. Joan died one month later at the age of 19 from injuries incurred in the same accident.","If no objection is made concerning Mary's misstatement in the application, how is the court most likely to construe the clause dealing with the payment of the proceeds to Joan?",Joan's reaching the age of 21 is a constructive condition concurrent.,Joan's reaching the age of 21 is a condition precedent to the insurance company's duty to pay anyone.,Joan's reaching the age of 21 has legal significance only with respect to the time of payment.,Joan's reaching the age of 21 has no legal significance.,C,"Contingent beneficiary under life policy was not entitled to policy proceeds upon death of insured, where primary beneficiary, though disqualified from receiving proceeds by virtue of fact he had murdered insured, survived insured, and policy lacked specific provisions defining term contingent beneficiary.",mbe_240
mbe_304,mbe,304,177,MBE-1978-83-part1,,156,"Defendant became intoxicated at a bar. He got into his car and drove away. Within a few blocks, craving another drink, he stopped ails car in the middle of the street, picked up a brick, and broke the display window of a liquor store. As he was reaching for a bottle, the night watchman arrived. Startled, Defendant turned, struck the watchman on the head with the bottle, killing him. Only vaguely aware of what was happening, Defendant returned to his car, consumed more liquor, and then drove off at a high speed. He ran a red light and struck and killed a pedestrian who was crossing the street. Relevant statutes define burglary to include ""breaking and entering a building not used as a dwelling with the intent to commit a crime therein."" Manslaughter is defined as the ""killing of a human being in a criminally reckless manner."" Criminal recklessness is ""consciously disregarding a substantial and unjustifiable risk resulting from the actor's conduct."" Murder is defined as ""the premeditated and intentional killing of another or the killing of another in the commission of committing rape, robbery, burglary, or arson."" Another statute provides that intoxication is not a defense to crime unless it negates an element of the offense. Defendant was charged with the murder of the watchman and manslaughter in the death of the pedestrian. Assume that he is tried separately on each charge.","At Defendant's trial for the murder of the watchman, the court should in substance charge the jury on the issue of the defense of intoxication that","intoxication is a defense to the underlying crime of burglary if Defendant, due to drunkenness, did not form an intent to commit a crime within the building, in which case there can be no conviction for murder unless Defendant intentionally and with premeditation killed the watchman",voluntary intoxication is no defense to the crime of murder,Defendant is guilty of murder despite his intoxication only if the state proves beyond a reasonable doubt that the killing of the watchman was premeditated and intentional,voluntary intoxication is a defense to the crime of murder if Defendant would not have killed the watchman but for his intoxication,A,Intoxication instruction given in state homicide prosecution did not create unconstitutional presumption of premeditation insofar as it stated there was no presumption that intoxicated person was incapable of premeditation.,mbe_241
mbe_305,mbe,305,177,MBE-1978-83-part1,,157,"Defendant became intoxicated at a bar. He got into his car and drove away. Within a few blocks, craving another drink, he stopped ails car in the middle of the street, picked up a brick, and broke the display window of a liquor store. As he was reaching for a bottle, the night watchman arrived. Startled, Defendant turned, struck the watchman on the head with the bottle, killing him. Only vaguely aware of what was happening, Defendant returned to his car, consumed more liquor, and then drove off at a high speed. He ran a red light and struck and killed a pedestrian who was crossing the street. Relevant statutes define burglary to include ""breaking and entering a building not used as a dwelling with the intent to commit a crime therein."" Manslaughter is defined as the ""killing of a human being in a criminally reckless manner."" Criminal recklessness is ""consciously disregarding a substantial and unjustifiable risk resulting from the actor's conduct."" Murder is defined as ""the premeditated and intentional killing of another or the killing of another in the commission of committing rape, robbery, burglary, or arson."" Another statute provides that intoxication is not a defense to crime unless it negates an element of the offense. Defendant was charged with the murder of the watchman and manslaughter in the death of the pedestrian. Assume that he is tried separately on each charge.","At Defendant's trial on the charge of manslaughter in the death of the pedestrian, his best argument would be that",he was too intoxicated to realize he was creating a substantial and unjustifiable risking the manner in which he was operating his car,when he got in the car his acts were not volun. tary because he was too intoxicated to know where he was or what he was doing,the pedestrian was contributorily negligent in failing to see Defendant's car approaching,he was too intoxicated to form any intent to voluntarily operate the automobile,A,"Because DUI manslaughter is not a specific intent crime, but rather a general intent crime, voluntary intoxication is not a defense to DUI manslaughter.",mbe_242
mbe_306,mbe,306,177,MBE-1978-83-part1,,158,"Defendant became intoxicated at a bar. He got into his car and drove away. Within a few blocks, craving another drink, he stopped ails car in the middle of the street, picked up a brick, and broke the display window of a liquor store. As he was reaching for a bottle, the night watchman arrived. Startled, Defendant turned, struck the watchman on the head with the bottle, killing him. Only vaguely aware of what was happening, Defendant returned to his car, consumed more liquor, and then drove off at a high speed. He ran a red light and struck and killed a pedestrian who was crossing the street. Relevant statutes define burglary to include ""breaking and entering a building not used as a dwelling with the intent to commit a crime therein."" Manslaughter is defined as the ""killing of a human being in a criminally reckless manner."" Criminal recklessness is ""consciously disregarding a substantial and unjustifiable risk resulting from the actor's conduct."" Murder is defined as ""the premeditated and intentional killing of another or the killing of another in the commission of committing rape, robbery, burglary, or arson."" Another statute provides that intoxication is not a defense to crime unless it negates an element of the offense. Defendant was charged with the murder of the watchman and manslaughter in the death of the pedestrian. Assume that he is tried separately on each charge.",The state's best argument to counter Defendant's argument in Question 157 on the intoxication issue in the manslaughter death of the pedestrian is that,"intoxication is no defense to the crime charged, because manslaughter is historically a general intent crime","intoxication is a defense only to a specific intent crime, and no specific intent is involved in the definition of the crime of manslaughter","conscious risk-taking refers to Defendant's entire course of conduct, including drinking with the knowledge that he might become intoxicated and seriously injure or kill someone while driving",whether Defendant was intoxicated or not is not the crucial issue here; the real issue is whether the manner in which Defendant was operating his car can be characterized under the facts as criminally reckless,C,"a number of courts have concluded that a defendant’s prior drunk driving conviction(s), or attendance at educational programs highlighting the hazards of driving while intoxicated, evidence a defendant’s subjective understanding and conscious disregarding of the risk to human life created by driving while intoxicated. (See, e.g., People v. Marlin (2004) 124 Cal.App.4th 559, 572 [defendant’s eight prior convictions for driving under the influence of alcohol provided sufficient basis for no contest plea to implied malice murder charge]; People v. McCarnes (1986) 179 Cal.App.3d 525, 532 [defendant’s prior convictions for driving under the influence and attendance at driver’s education program as required by sentences on those convictions admissible to show implied malice].)",mbe_243
mbe_309,mbe,309,179,MBE-1978-83-part1,,161,"Johnson wanted to purchase a used motor vehicle. The used car lot of Car Company, in a remote section away from town, was enclosed by a ten-foot chain link fence. While Johnson and Sales Representative, an employee of Car Company, were in the used car lot looking at cars, a security guard locked the gate at 1:30 p. i., because it was Saturday and the lot was supposed to be closed after 1:00 p. m. Saturday until Monday morning. At 1:45 p. m., Johnson and Sales Representative discovered they were locked in. There was no traffic in the vicinity and no way in which help could be summoned. After two hours, Johnson began to panic at the prospect of remaining undiscovered and without food and water until Monday morning. Sales Representative decided to wait in a car until help should come. Johnson tried to climb over the fence and, in doing so, fell and was injured. Johnson asserts a claim against Car Company for damages for his injuries.","If Johnson's claim is based on negligence, is the defense of assumption of the risk applicable?","Yes, if a reasonable person would have recognized that there was some risk of falling while climbing the fence.","Yes, because Sales Representative, as Car Company's agent, waited for help.","No, if it appeared that there was no other practicable way of getting out of the lot before Monday.","No, because Johnson was confined as the result of a volitional act.",C,"To prove assumption of risk, a defendant must show: (1) that the plaintiff had actual or constructive knowledge of the existence of the specific risk involved; (2) that the plaintiff appreciated the risk's character; and (3) that the plaintiff voluntarily accepted the risk, having had the time, knowledge, and experience to make an intelligent choice.",mbe_244
mbe_310,mbe,310,179,MBE-1978-83-part1,,162,"Johnson wanted to purchase a used motor vehicle. The used car lot of Car Company, in a remote section away from town, was enclosed by a ten-foot chain link fence. While Johnson and Sales Representative, an employee of Car Company, were in the used car lot looking at cars, a security guard locked the gate at 1:30 p. i., because it was Saturday and the lot was supposed to be closed after 1:00 p. m. Saturday until Monday morning. At 1:45 p. m., Johnson and Sales Representative discovered they were locked in. There was no traffic in the vicinity and no way in which help could be summoned. After two hours, Johnson began to panic at the prospect of remaining undiscovered and without food and water until Monday morning. Sales Representative decided to wait in a car until help should come. Johnson tried to climb over the fence and, in doing so, fell and was injured. Johnson asserts a claim against Car Company for damages for his injuries.","If Johnson's claim is based on false imprisonment, will Johnson prevail?","Yes, because he was confined against his will.","Yes, because he was harmed as a result of his confinement.","No, unless the security guard was negligent in locking the gate.","No, unless the security guard knew that someone was in the lot at the time the guard locked the gate.",D,"“'The elements of false imprisonment are (1) an act committed with the intention of confining another; (2) the act directly or indirectly results in such confinement, and (3) the person confined is conscious of his confinement.' ” Bletz v. Gribble, 641 F.3d 743, 758 (6th Cir. 2011) (citing Walsh v. Taylor, 689 N.W.2d 506, 514 (Mich. Ct. App. 2004)). “The 'substance of a false imprisonment claim is that the imprisonment is false because it occurs without right or authority.' ” Blount v. McQuiggin, No. 1:09-cv-58, 2011 WL 1434911 at *4 (W.D. Mich. Mar. 23, 2011) (citing Hart v. Danak, 2010 WL 1404431 at *2 (Mich. Ct. App. Apr. 8, 2010)).",mbe_245
mbe_311,mbe,311,180,MBE-1978-83-part1,,163,"Albert, the owner of a house and lot, leased the same to Barnes for a term of five years. In addition to the house, there was also an unattached, two-car brick garage located on the lot. Barnes earned his living as an employee in a local grocery store, but his hobby consisted of wood carving and the making of small furniture. Barnes installed a work bench, electric lights, and a radiator in the garage. He also laid pipes connecting the radiator with the heating plant inside the house. Thereafter Albert mortgaged the premises to Good Bank to secure a loan. Barnes was not given notice of the mortgage, but the mortgage was recorded. Still later, Albert defaulted on his mortgage payments, and Good Bank began foreclosure proceedings, as it was entitled to do under the terms of the mortgage. By this time Barnes's lease was almost ended. Barnes began the removal of the equipment he had installed in the garage. Good Bank brought an action to enjoin the removal of the equipment mentioned above. Both Barnes and Albert were named as defendants.","If the court refuses the injunction, it will be because",Barnes was without notice of the mortgage,the circumstances reveal that the equipment was installed for Barnes's exclusive benefit,"in the absence of a contrary agreement, a residential tenant is entitled to remove any personal property he voluntarily brings upon the premises",the Statute of Frauds precludes the Bank from claiming any interest In the equipment,B,"[F]ixtures and trade fixtures are differentiated under the law. A fixture is an item of personal property which is incorporated into or attached to realty. Nokomis Quarry Co. v. Dietl, 333 Ill.App.3d 480, 484, 266 Ill.Dec. 829, 775 N.E.2d 669 (2002). Because a fixture is deemed a part of the realty, it cannot be removed by a tenant without incurring liability. Nokomis, 333 Ill.App.3d at 484, 266 Ill.Dec. 829, 775 N.E.2d 669. A finding that certain property is a fixture requires ***682 **290 the court to consider a number of factors, including the agreement and intent of the parties, the nature of the attachment to the real estate, and whether the property can be removed without damage to the real estate. See Crane Erectors & Riggers, Inc. v. LaSalle National Bank, 125 Ill.App.3d 658, 662, 80 Ill.Dec. 945, 466 N.E.2d 397 (1984).
A trade fixture is an item of personal property that is attached to the realty by a tenant for the purpose of carrying on the tenant's business. Nokomis, 333 Ill.App.3d at 484, 266 Ill.Dec. 829, 775 N.E.2d 669. A tenant may only remove a trade fixture from the realty if doing so would not damage the realty. Nokomis, 333 Ill.App.3d at 484, 266 Ill.Dec. 829, 775 N.E.2d 669 (“[r]emoval is allowed only if, after the fixture is removed, the realty is the same as it was prior to the tenant's tenancy”).  “In other words, a fixture is a trade fixture when the tenant leases property and adds a fixture for use in the tenant's business. Before the lease expires, the tenant would be allowed to remove a trade fixture, so long as the tenant did not damage the realty in the process of the removal.” Nokomis, 333 Ill.App.3d at 484, 266 Ill.Dec. 829, 775 N.E.2d 669.",mbe_246
mbe_312,mbe,312,180,MBE-1978-83-part1,,164,"Albert, the owner of a house and lot, leased the same to Barnes for a term of five years. In addition to the house, there was also an unattached, two-car brick garage located on the lot. Barnes earned his living as an employee in a local grocery store, but his hobby consisted of wood carving and the making of small furniture. Barnes installed a work bench, electric lights, and a radiator in the garage. He also laid pipes connecting the radiator with the heating plant inside the house. Thereafter Albert mortgaged the premises to Good Bank to secure a loan. Barnes was not given notice of the mortgage, but the mortgage was recorded. Still later, Albert defaulted on his mortgage payments, and Good Bank began foreclosure proceedings, as it was entitled to do under the terms of the mortgage. By this time Barnes's lease was almost ended. Barnes began the removal of the equipment he had installed in the garage. Good Bank brought an action to enjoin the removal of the equipment mentioned above. Both Barnes and Albert were named as defendants.","If the equipment concerned had been installed by Albert, but the facts were otherwise unchanged, the effect on Good Bank's prayer for an injunction would be that the",likelihood of Good Bank's succeeding would be improved,likelihood of Good Bank's succeeding would be lessened,likelihood of Good Bank's succeeding would be unaffected,outcome of the litigation would depend upon whether or not the mortgage expressly mentioned personal property located on the premises,A,"trade fixtures are removable by a tenant so long as he remains in possession of the leasehold, provided they are capable of removal without material injury to the realty; notwithstanding his failure to preserve such right in a renewal lease. Greenspan-Greenberger Co. v. Goerke Co., supra; Radey v. McCurdy, 1904, 209 Pa. 306, 58 A. 558, 67 L.R.A. 359, 103 Am.St.Rep. 1009; Ray v. Young, 1913, 160 Iowa 613, 142 N.W. 393, 46 L.R.A.,N.S., 947, Ann.Cas.1915D, 258; Andrews v. Williams, 1946, 115 Colo. 478, 173 P.2d 882, 169 A.L.R. 471, 476; Notes 110 A.L.R. 480; 22 Am.Jur., Fixtures, s 48, p. 762. Also see Bergh v. Herring-Hall-Marvin Safe Co., supra. ",mbe_247
